timestamp,trade_index,equity,rolling_expectancy,rolling_winrate,rolling_sum,rolling_volatility,adaptive_threshold,probability,paused
2026-02-16 11:54:37.260084,1,1.0,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.272826,2,-0.30000000000000004,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.274826,3,-1.6,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.288826,4,-0.6000000000000001,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.362484,5,-1.9000000000000001,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.381989,6,-3.2,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.419292,7,-2.2,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.420341,8,-1.2000000000000002,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.436134,9,-0.20000000000000018,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.466320,10,0.7999999999999998,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.469320,11,-0.5000000000000002,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.472823,12,-1.8000000000000003,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.499894,13,-0.8000000000000003,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.512455,14,0.19999999999999973,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.524134,15,-1.1000000000000003,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.548460,16,-0.10000000000000031,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.559460,17,-1.4000000000000004,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.579909,18,-2.7,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.617255,19,-1.7000000000000002,0,0,0,0,0.65,0,False
2026-02-16 11:54:37.618225,20,-0.7000000000000002,-0.03500000000000003,0.55,-0.7000000000000006,1.1442355526726131,0.65,0,False
2026-02-16 11:54:37.623251,21,-2.0,-0.15,0.5,-3.0,1.15,0.65,0,False
2026-02-16 11:54:37.637223,22,-3.3,-0.15000000000000002,0.5,-3.0000000000000004,1.1499999999999997,0.65,0,False
2026-02-16 11:54:37.655848,23,-2.3,-0.03500000000000002,0.55,-0.7000000000000004,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.711098,24,-1.2999999999999998,-0.03500000000000001,0.55,-0.7000000000000002,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.717686,25,-0.2999999999999998,0.07999999999999999,0.6,1.5999999999999996,1.1267652816802618,0.65,0,False
2026-02-16 11:54:37.730603,26,-1.5999999999999999,0.07999999999999997,0.6,1.5999999999999994,1.1267652816802618,0.65,0,False
2026-02-16 11:54:37.741660,27,-2.9,-0.03500000000000002,0.55,-0.7000000000000004,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.747291,28,-1.9,-0.03500000000000002,0.55,-0.7000000000000004,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.770237,29,-0.8999999999999999,-0.03500000000000001,0.55,-0.7000000000000002,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.788877,30,0.10000000000000009,-0.03500000000000001,0.55,-0.7000000000000002,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.803888,31,-1.2,-0.03500000000000002,0.55,-0.7000000000000004,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.813501,32,-2.5,-0.03500000000000003,0.55,-0.7000000000000006,1.1442355526726131,0.65,0,False
2026-02-16 11:54:37.836016,33,-1.5,-0.03500000000000003,0.55,-0.7000000000000006,1.1442355526726131,0.65,0,False
2026-02-16 11:54:37.841568,34,-0.5,-0.03500000000000003,0.55,-0.7000000000000006,1.1442355526726131,0.65,0,False
2026-02-16 11:54:37.900225,35,0.5,0.07999999999999997,0.6,1.5999999999999994,1.1267652816802618,0.65,0,False
2026-02-16 11:54:37.903791,36,-0.8,-0.03500000000000002,0.55,-0.7000000000000004,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.924171,37,0.19999999999999996,0.07999999999999997,0.6,1.5999999999999994,1.1267652816802618,0.65,0,False
2026-02-16 11:54:37.930138,38,-1.1,0.07999999999999997,0.6,1.5999999999999994,1.1267652816802618,0.65,0,False
2026-02-16 11:54:37.932147,39,-0.10000000000000009,0.07999999999999999,0.6,1.5999999999999996,1.1267652816802618,0.65,0,False
2026-02-16 11:54:37.936786,40,-1.4000000000000001,-0.03500000000000002,0.55,-0.7000000000000004,1.144235552672613,0.65,0,False
2026-02-16 11:54:37.940715,41,-2.7,-0.03500000000000002,0.55,-0.7000000000000004,1.1442355526726131,0.65,0,False
2026-02-16 11:54:38.008956,42,-1.7000000000000002,0.07999999999999999,0.6,1.5999999999999996,1.1267652816802618,0.65,0,False
2026-02-16 11:54:38.022629,43,-0.7000000000000002,0.07999999999999999,0.6,1.5999999999999996,1.1267652816802618,0.65,0,False
2026-02-16 11:54:38.025634,44,0.2999999999999998,0.07999999999999997,0.6,1.5999999999999994,1.1267652816802618,0.65,0,False
2026-02-16 11:54:38.027628,45,1.2999999999999998,0.07999999999999999,0.6,1.5999999999999996,1.126765281680262,0.65,0,False
2026-02-16 11:54:38.029637,46,-2.220446049250313e-16,0.07999999999999997,0.6,1.5999999999999994,1.1267652816802618,0.65,0,False
2026-02-16 11:54:38.042628,47,-1.3000000000000003,0.07999999999999997,0.6,1.5999999999999994,1.1267652816802618,0.65,0,False
