open_time,open,high,low,close,volume
2026-02-09 00:15:00,70609.99,70653.67,70362.86,70552.56,75.77778
2026-02-09 00:20:00,70552.55,70750.0,70545.49,70727.79,72.06852
2026-02-09 00:25:00,70727.79,70774.4,70450.0,70479.39,101.3242
2026-02-09 00:30:00,70479.4,70611.77,70372.83,70606.79,60.05472
2026-02-09 00:35:00,70606.78,70616.44,70380.0,70418.26,50.0991
2026-02-09 00:40:00,70418.25,70418.25,70138.07,70278.68,108.47725
2026-02-09 00:45:00,70278.67,70491.95,70123.02,70486.01,92.6326
2026-02-09 00:50:00,70486.0,70526.0,70349.57,70401.71,43.23788
2026-02-09 00:55:00,70401.71,70540.81,70400.0,70502.38,49.86347
2026-02-09 01:00:00,70502.37,70662.63,70383.71,70488.61,51.5065
2026-02-09 01:05:00,70488.6,70488.6,70300.01,70460.32,63.5082
2026-02-09 01:10:00,70460.32,70465.25,70356.51,70413.99,54.83641
2026-02-09 01:15:00,70414.0,70617.32,70288.13,70602.57,60.75817
2026-02-09 01:20:00,70602.58,70923.99,70579.05,70894.08,109.82962
2026-02-09 01:25:00,70894.08,70926.4,70687.3,70715.97,59.77355
2026-02-09 01:30:00,70715.97,70794.67,70688.49,70714.69,127.60078
2026-02-09 01:35:00,70714.01,70718.81,70448.62,70486.05,54.22034
2026-02-09 01:40:00,70486.04,70499.86,70068.18,70250.01,137.38584
2026-02-09 01:45:00,70250.0,70332.0,70077.9,70086.38,162.59426
2026-02-09 01:50:00,70086.38,70502.64,70077.9,70356.0,136.25026
2026-02-09 01:55:00,70356.0,70443.52,70300.0,70369.53,42.56209
2026-02-09 02:00:00,70369.53,70385.56,70220.12,70359.87,55.22265
2026-02-09 02:05:00,70359.86,70507.95,70220.12,70388.01,73.68871
2026-02-09 02:10:00,70388.01,70478.5,70336.27,70342.54,41.81006
2026-02-09 02:15:00,70342.49,70450.18,70281.16,70395.55,49.30701
2026-02-09 02:20:00,70395.55,70495.93,70366.0,70436.91,53.67172
2026-02-09 02:25:00,70436.91,70478.5,70371.58,70460.0,35.65177
2026-02-09 02:30:00,70460.01,70580.48,70443.93,70458.56,72.71848
2026-02-09 02:35:00,70458.56,70720.0,70457.28,70665.71,83.33014
2026-02-09 02:40:00,70665.7,71000.0,70636.76,70875.06,152.61096
2026-02-09 02:45:00,70875.06,70906.12,70733.39,70794.69,97.15089
2026-02-09 02:50:00,70794.68,70794.68,70600.0,70614.43,56.87737
2026-02-09 02:55:00,70614.43,70703.48,70598.11,70629.99,60.79019
2026-02-09 03:00:00,70629.99,70756.11,70614.07,70749.91,50.28559
2026-02-09 03:05:00,70749.9,70859.14,70681.19,70770.01,52.88113
2026-02-09 03:10:00,70770.0,70804.8,70710.39,70761.16,69.80244
2026-02-09 03:15:00,70761.16,70954.7,70761.15,70825.09,119.76861
2026-02-09 03:20:00,70825.1,70880.0,70709.43,70725.8,116.81701
2026-02-09 03:25:00,70725.8,70825.1,70713.58,70821.4,27.29283
2026-02-09 03:30:00,70821.4,71101.59,70821.4,70980.0,142.9523
2026-02-09 03:35:00,70980.0,71093.68,70926.3,71093.68,70.80736
2026-02-09 03:40:00,71093.67,71363.27,70982.27,71134.96,179.45075
2026-02-09 03:45:00,71134.96,71277.12,71040.24,71200.07,121.91096
2026-02-09 03:50:00,71200.07,71376.0,71087.15,71362.15,90.84209
2026-02-09 03:55:00,71362.16,71453.53,71188.05,71307.56,123.07201
2026-02-09 04:00:00,71307.56,71359.37,71144.12,71144.13,133.52481
2026-02-09 04:05:00,71144.12,71184.51,71100.0,71100.0,59.14224
2026-02-09 04:10:00,71100.01,71155.93,71024.0,71035.55,73.18784
2026-02-09 04:15:00,71035.55,71228.0,71030.0,71217.73,59.06891
2026-02-09 04:20:00,71217.72,71282.25,71178.0,71224.0,46.7686
2026-02-09 04:25:00,71224.0,71272.0,71202.0,71251.26,32.16757
2026-02-09 04:30:00,71251.26,71251.26,71076.0,71091.5,44.49666
2026-02-09 04:35:00,71091.5,71114.0,70954.99,70971.99,58.97406
2026-02-09 04:40:00,70972.0,71057.35,70924.13,71038.61,37.27586
2026-02-09 04:45:00,71038.6,71129.0,71018.4,71042.88,44.05095
2026-02-09 04:50:00,71042.87,71047.06,70957.29,70959.51,37.42934
2026-02-09 04:55:00,70959.51,71073.78,70959.51,71005.01,37.03582
